u_neighborhood,u_hr_0,u_hr_1,u_hr_2,u_hr_3,u_hr_4,u_hr_5,u_hr_6,u_hr_7,u_hr_8,u_hr_9,u_hr_10,u_hr_11,u_hr_12,u_hr_13,u_hr_14,u_hr_15,u_hr_16,u_hr_17,u_hr_18,u_hr_19,u_hr_20,u_hr_21,u_hr_22,u_hr_23
Manhattan Beach,0,0,0,1,1,0,0,0,1,0,2,0,2,0,0,0,2,0,0,0,2,0,1,0
Marble Hill,1,0,0,0,0,0,0,0,0,2,0,1,0,3,2,4,1,2,1,1,1,0,1,1
Marine Park,1,2,4,0,1,1,0,0,4,1,5,1,3,0,2,0,2,1,4,1,0,4,3,3
Mariners Harbor,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Maspeth,3,4,4,5,8,9,10,14,12,6,6,7,9,17,7,9,11,17,9,6,14,19,26,6
Melrose,0,0,1,2,1,0,0,1,1,1,2,2,0,0,0,0,0,2,2,1,0,0,0,0
Middle Village,1,2,0,1,2,4,4,9,6,9,1,4,3,3,5,4,6,5,7,14,4,4,6,6
Midland Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midtown,985,642,347,421,434,616,992,1550,1800,2024,2585,2971,3156,3811,4644,7031,9907,11147,9602,8376,7113,5615,3636,2028
Midwood,6,2,5,3,11,8,31,30,35,19,17,12,14,23,13,24,23,21,20,28,23,14,20,10
Mill Basin,0,1,1,0,1,2,1,2,0,2,3,3,1,9,2,2,1,2,0,2,2,2,1,2
Morningside Heights,23,10,6,24,27,22,29,17,42,58,45,62,57,87,81,78,103,95,91,115,87,72,59,58
Morris Heights,3,2,1,1,0,2,3,3,0,1,1,1,0,1,1,1,2,1,0,1,0,2,1,1
Morris Park,2,1,1,1,0,4,2,2,2,2,5,2,3,2,8,10,7,8,4,2,4,5,3,2
Morrisania,1,0,0,1,0,0,1,0,2,0,0,2,4,2,1,2,3,0,1,2,0,1,1,0
Mott Haven,3,1,7,2,0,6,2,2,1,3,4,7,10,4,6,10,8,8,10,7,9,9,3,2
Mount Eden,0,1,0,0,1,0,0,0,0,5,1,2,1,2,2,0,0,2,2,3,2,0,0,1
Mount Hope,2,0,0,0,0,1,1,1,0,1,1,1,0,0,1,4,0,1,1,3,1,0,1,0
Murray Hill,116,49,50,60,64,119,212,379,371,296,274,354,356,361,452,634,811,1050,933,758,543,415,297,166
Navy Yard,0,1,1,1,0,2,0,1,4,6,9,15,11,13,22,21,37,26,32,36,20,11,11,6
Neponsit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
New Brighton,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
New Dorp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
New Dorp Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Springville,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
NoHo,282,155,66,30,30,85,155,198,153,128,130,138,142,202,294,321,329,407,359,353,447,575,569,448
Nolita,154,78,57,41,49,71,99,131,163,112,99,111,143,164,244,212,237,276,312,306,340,344,278,208
North Brother Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Riverdale,1,0,0,0,0,0,0,1,0,1,2,2,2,3,2,4,2,0,0,2,3,3,1,2
Norwood,3,3,2,2,1,1,5,3,2,8,7,7,6,13,8,7,8,9,4,2,7,6,2,0
Oakwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Olinville,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0
Ozone Park,4,0,3,4,4,2,3,6,13,4,6,4,8,8,1,7,5,4,10,6,4,1,5,7
Park Hill,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Park Slope,73,23,20,24,63,153,199,186,150,130,126,118,115,145,130,137,139,197,169,205,219,205,188,115
Parkchester,3,3,0,0,0,2,2,0,0,1,1,2,1,4,0,4,3,2,5,1,3,2,3,0
Pelham Bay,0,0,0,0,0,2,4,1,0,1,1,2,1,1,1,2,1,0,2,1,2,0,3,0
Pelham Bay Park,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,2,0,0,1,1,0,0
Pelham Gardens,1,0,0,0,0,1,5,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0
Pleasant Plains,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plum Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Port Morris,0,1,2,0,1,3,1,1,1,1,7,6,2,4,4,3,5,3,1,2,4,2,3,0
Port Richmond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prince's Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prospect Heights,40,15,15,18,35,43,78,113,61,49,45,50,37,63,51,55,67,69,66,73,141,172,153,82
Prospect Park,4,2,0,5,2,5,21,11,8,14,11,16,25,16,32,33,35,22,13,19,25,29,35,23
Prospect-Lefferts Gardens,12,9,5,9,17,19,44,36,30,35,23,17,22,30,30,25,27,25,30,28,26,36,28,23
Queens Village,5,0,1,1,3,1,3,4,1,0,5,3,3,5,3,1,2,2,4,2,3,2,4,6
Randall Manor,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Randall's Island,0,1,0,0,0,0,1,0,3,2,6,5,12,8,10,8,16,18,10,8,1,1,0,0
Red Hook,45,16,9,4,8,8,9,13,13,20,31,35,23,63,58,64,81,113,70,75,95,88,75,57
Rego Park,3,2,3,5,5,5,9,8,8,19,7,8,10,8,6,8,7,10,14,8,10,15,7,8
Richmond Hill,6,1,2,3,5,7,9,7,5,8,3,7,7,7,12,6,6,11,7,13,7,2,5,3
Richmondtown,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ridgewood,10,9,7,5,9,10,5,8,8,12,10,6,12,10,13,4,10,15,12,20,13,15,8,11
Rikers Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riverdale,2,0,0,0,0,3,3,11,9,4,1,5,11,5,7,6,7,5,1,8,3,2,4,5
Rockaway Beach,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0
Rockaway Park,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Roosevelt Island,4,1,1,9,3,7,4,4,3,4,7,1,3,5,5,4,5,1,9,7,3,7,3,5
Rosebank,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Rosedale,3,0,1,1,0,0,2,1,1,0,1,4,2,4,1,0,1,3,1,4,1,6,1,0
Rossville,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Schuylerville,0,1,0,0,0,7,4,1,0,1,1,1,1,1,0,1,0,1,3,1,0,1,0,0
Sea Gate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
Sheepshead Bay,13,7,5,2,4,3,8,24,20,8,11,12,15,20,12,20,14,21,17,20,18,12,7,14
Shore Acres,0,0,0,0,0,0,0,0,0,0,3,3,1,2,1,0,0,0,0,0,1,0,0,1
Silver Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
SoHo,468,265,148,143,164,269,579,801,748,704,839,843,926,1157,1402,1892,2271,2628,2399,2039,1650,1666,1301,894
Soundview,1,0,0,3,1,1,0,1,0,0,1,1,5,0,2,4,2,3,1,1,2,0,1,0
South Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1
South Brother Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Ozone Park,3,6,3,6,13,7,13,12,12,8,10,7,4,10,13,16,8,10,7,15,12,4,12,3
South Slope,16,12,10,13,36,37,60,63,58,44,33,42,33,32,35,50,36,60,55,60,64,72,58,32
Springfield Gardens,3,0,2,0,2,0,6,10,0,5,2,1,11,4,7,3,4,4,2,2,5,2,0,2
Spuyten Duyvil,0,0,0,0,2,0,3,2,2,1,3,1,1,3,1,1,3,1,1,1,5,1,1,1
St. Albans,0,2,0,4,3,1,3,2,5,2,3,4,4,4,2,5,3,5,0,6,0,3,1,7
St. George,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Stapleton,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Stuyvesant Town,22,30,14,27,40,93,274,355,362,114,98,80,75,60,105,95,96,112,150,123,80,71,73,62
Sunnyside,13,7,11,9,14,20,22,33,34,29,51,30,19,36,27,27,39,41,32,26,24,26,30,17
Sunset Park,31,24,24,19,19,22,40,37,36,28,33,44,45,49,47,60,64,58,55,43,54,38,42,38
Theater District,266,146,87,79,69,120,177,278,333,365,448,477,516,564,668,1059,1469,1378,1131,1274,1703,1968,1185,561
Throgs Neck,2,0,0,1,0,0,2,2,3,1,2,2,0,1,3,1,2,0,2,3,1,3,3,5
Todt Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tompkinsville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tottenville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tremont,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,1,0,1,1,2,2,1,1
Tribeca,358,197,105,164,165,265,543,612,631,565,678,596,666,681,781,1027,1295,1536,1647,1446,1325,1289,1181,640
Two Bridges,7,7,2,2,5,7,21,19,22,10,12,12,21,8,12,10,26,21,27,25,14,14,16,9
Unionport,0,0,0,1,0,0,0,1,1,0,1,0,2,3,2,1,1,0,0,0,2,0,0,1
University Heights,0,0,1,0,1,0,5,1,2,2,0,2,2,1,1,1,2,3,7,4,3,1,0,1
Upper East Side,343,173,154,300,400,752,2972,3975,2983,2061,1918,1903,1785,2234,2657,3728,3871,3797,3638,2740,1964,1704,1184,692
Upper West Side,208,129,98,252,364,723,2030,2540,2032,1277,1025,1042,897,1020,1202,1435,1659,1687,1545,1248,1041,1101,940,394
Van Cortlandt Park,0,1,0,0,0,1,0,1,0,0,0,3,2,6,5,7,1,2,0,1,0,1,0,3
Van Nest,1,0,0,0,0,0,2,0,1,0,0,0,1,2,0,1,0,1,0,1,0,2,2,0
Vinegar Hill,15,3,7,9,6,2,17,25,28,18,14,15,15,17,13,20,17,38,39,35,24,18,24,19
Wakefield,2,0,1,0,0,1,0,2,0,0,1,1,3,2,3,0,0,3,1,5,1,3,5,2
Washington Heights,24,17,18,23,24,52,37,47,42,56,48,62,57,46,54,51,81,70,61,50,55,76,62,32
West Brighton,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0
West Farms,1,0,0,0,0,0,0,0,1,0,0,2,0,2,3,1,2,1,0,0,1,0,0,1
West Village,1206,924,497,327,305,529,1078,1314,1021,689,650,646,714,797,971,1251,1513,1639,1729,1887,1888,2602,2755,2085
Westchester Square,0,0,2,0,0,1,1,2,2,2,1,1,4,2,1,6,2,0,0,0,2,1,1,1
Westerleigh,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
Whitestone,6,1,1,0,1,4,3,4,1,3,2,2,3,2,2,4,4,5,3,1,7,1,5,1
Williamsbridge,2,0,1,0,0,2,1,1,0,1,1,1,0,3,4,3,4,3,2,1,2,3,3,1
Williamsburg,615,469,334,243,259,426,597,678,628,464,472,467,503,521,538,571,586,760,781,853,832,974,1054,877
Willowbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Windsor Terrace,9,3,4,2,10,13,17,19,25,22,14,17,21,17,20,13,18,19,23,22,21,19,20,11
Woodhaven,0,0,3,0,1,3,3,5,1,1,0,1,4,1,2,2,4,3,1,4,5,6,3,2
Woodlawn,0,1,1,0,0,7,0,0,1,0,0,1,0,2,0,0,0,1,0,0,1,0,0,2
Woodrow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woodside,3,3,1,2,3,2,5,5,5,5,5,6,10,11,3,10,14,11,11,10,10,11,6,7
